dron	rxcui	omop
DRON_00021011	371122	40016862
DRON_00021012	371124	40016863
DRON_00021013	371125	40017120
DRON_00021014	371127	40016896
DRON_00021015	371128	40016898
DRON_00021016	371129	40092881
DRON_00021017	371130	40092882
DRON_00021018	371131	40092883
DRON_00021019	371132	40017553
DRON_00021020	371133	40017569
DRON_00021021	371135	40017881
DRON_00021022	371136	40017893
DRON_00021023	371139	40017900
DRON_00021024	371140	40017908
DRON_00021025	371141	40017897
DRON_00021026	371142	40019915
DRON_00021027	371143	40019900
DRON_00021028	371144	40019905
DRON_00021029	371145	40019923
DRON_00021030	371146	40019903
DRON_00021031	371147	40092891
DRON_00021032	371149	40092911
DRON_00021033	371151	40020306
DRON_00021034	371152	40020313
DRON_00021035	371153	40093256
DRON_00021036	371154	40093257
DRON_00021037	371155	40092923
DRON_00021038	371156	40093264
DRON_00021039	371157	40014783
DRON_00021040	371158	40014785
DRON_00021041	371159	40020346
DRON_00021042	371160	40015130
DRON_00021043	371161	40015181
DRON_00021044	371162	40015512
DRON_00021045	371163	40015516
DRON_00021046	371164	40015538
DRON_00021047	371165	40015553
DRON_00021048	371166	40011368
DRON_00021049	371168	40093331
DRON_00021050	371169	40093679
DRON_00021051	371171	40093695
DRON_00021052	371172	40093701
DRON_00021053	371173	40093745
DRON_00021054	371174	40015851
DRON_00021055	371176	40093755
DRON_00021056	371177	40018382
DRON_00021057	371178	40094111
DRON_00021058	371180	40018015
DRON_00021059	371181	40018024
DRON_00021060	371182	40018018
DRON_00021061	371183	40018021
DRON_00021062	371184	40018016
DRON_00021063	371185	40017307
DRON_00021064	371186	40094153
DRON_00021065	371188	40100247
DRON_00021066	371189	40018632
DRON_00021067	371190	40018634
DRON_00021068	371191	40014857
DRON_00021069	371192	40014861
DRON_00021070	371193	40014856
DRON_00021071	371195	40094504
DRON_00021072	371197	40014852
DRON_00021073	371198	40017062
DRON_00021074	371199	40017099
DRON_00021075	371200	40017103
DRON_00021076	371201	40017105
DRON_00021077	371202	40017100
DRON_00021078	371203	40017098
DRON_00021079	371204	40017097
DRON_00021080	371205	40020008
DRON_00021081	371206	40020015
DRON_00021082	371207	40020016
DRON_00021083	371208	40020018
DRON_00021084	371210	40020031
DRON_00021085	371211	40020037
DRON_00021086	371213	40017748
DRON_00021087	371214	40017746
DRON_00021088	371215	40017752
DRON_00021089	371216	40017747
DRON_00021090	371220	40059687
DRON_00021091	371222	40018748
DRON_00021092	371224	40018376
DRON_00021093	371225	40018374
DRON_00021094	371226	40018375
DRON_00021095	371227	40018377
DRON_00021096	371228	40018379
DRON_00021097	371229	40018732
DRON_00021098	371231	40094573
DRON_00021099	371232	40094574
DRON_00021100	371233	40094527
DRON_00021101	371234	40018765
DRON_00021102	371235	40098045
DRON_00021103	371236	40098043
DRON_00021104	371237	40070184
DRON_00021105	371238	40070181
DRON_00021106	371239	40018771
DRON_00021107	371240	40094939
DRON_00021108	371245	40095396
DRON_00021109	371246	40095397
DRON_00021110	371247	40095732
DRON_00021111	371248	40024964
DRON_00021112	371249	40024976
DRON_00021113	371250	40095743
DRON_00021114	371251	40020525
DRON_00021115	371252	40025259
DRON_00021116	371253	40020555
DRON_00021117	371254	40020851
DRON_00021118	371255	40020892
DRON_00021119	371256	40020897
