concept_id|concept_code
40020188|371078
40020189|371079
40020203|371081
40020204|371082
40027646|375418
40027647|377500
40027649|309404
40027650|377982
40027651|377667
40031306|379076
40021403|378360
40018695|385047
40025718|371568
40025720|371569
40022266|376467
40022267|377541
40022274|377639
40022283|374956
40022284|374957
40012587|437775
40012588|372778
40012591|372833
40012593|372870
40012594|372985
40012595|374711
40012600|370950
40012602|437768
40015304|371022
40015307|308670
40050771|381174
40050538|372473
40050539|370688
40039807|373121
40041969|372004
40031907|371955
40031910|385497
40041978|372005
40041997|372009
40042000|372006
40041016|372121
40041017|439550
40042019|439378
40042020|439373
40042021|439376
40042022|372072
40042023|375551
40022541|374955
40022542|374954
40022543|374953
40022544|374545
40028258|377280
40028260|371725
40050479|377539
40021200|371258
40060728|372868
40070397|377949
40061899|385487
40061664|372766
40061666|446290
40061670|373360
40061677|446295
40049577|440780
40049590|375552
40050107|377713
40050122|372416
40050131|376507
40050132|370646
40051088|370718
40051091|372518
40051094|372517
40051096|440849
40065094|446193
40036909|377228
40039897|375933
40039900|372201
40037628|376967
40037632|376931
40061687|372769
40061689|446298
40040625|376908
40052361|440658
40052370|379055
40047709|372385
40039245|372348
40039246|439938
40039247|439765
40050622|372479
40050635|378157
40050636|370715
40039268|372275
40039270|379430
40039271|377394
40033942|379161
40033943|371892
40046767|377716
40033913|370494
40033920|439015
40033921|439008
40033922|439011
40034888|372008
40050645|375852
40050646|375853
40050648|372514
40038996|439410
40044374|374375
40044376|372361
40039046|439427
40039047|372091
40044775|370632
40044777|375837
40044778|370631
40051314|378914
40044821|372650
40044824|440593
40044825|372853
40053128|378950
40047734|440331
40047735|440328
40047736|440318
40052410|378843
40051492|406117
40051501|374464
40051505|402476
40035704|374370
40049671|378652
40049672|377107
40052913|377223
40052914|370725
40052917|378651
40052919|374558
40056567|376335
40056569|406050
40064912|372829
40064915|446392
40063978|375863
40057740|374269
40065004|237951
40058896|378099
40065460|377767
40065461|372937
40065479|372939
40065413|376644
40062606|372898
40062608|376657
40057031|372945
40057037|446529
