Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
ALCLOMETASONE	136H45TB7B	DB00240	Alclometasone	DB00240	Alclometasone	DB00240	Alclometasone
ALCLOMETASONE DIPROPIONATE	S56PQL4N1V	DB00240	Alclometasone				
ALCLOXA	18B8O9DQA2						
ALCOHOL	3K9958V90M	DB00898	Ethanol	DB00898	Ethanol	DB00898	Ethanol
ALDESLEUKIN	M89N0Q7EQR	DB00041	Aldesleukin				
ALEFACEPT	ELK3V90G6C	DB00092	Alefacept				
ALEMTUZUMAB	3A189DH42V	DB00087	Alemtuzumab				
ALENDRONIC ACID	X1J18R4W8P	DB00630	Alendronate	DB00630	Alendronate	DB00630	Alendronate
ALFENTANIL	1N74HM2BS7	DB00802	Alfentanil	DB00802	Alfentanil		
ALFUZOSIN	90347YTW5F	DB00346	Alfuzosin	DB00346	Alfuzosin		
ALGLUCOSIDASE ALFA	DTI67O9503	DB01272	Alglucosidase alfa				
ALISKIREN	502FWN4Q32	DB01258	Aliskiren	DB01258	Aliskiren		
ALITRETINOIN	1UA8E65KDZ	DB00523	Alitretinoin	DB00523	Alitretinoin		
ALLANTOIN	344S277G0Z						
ALLENROLFEA OCCIDENTALIS POLLEN	5W6JAI84OI						
ALLOPURINOL	63CZ7GJN5I	DB00437	Allopurinol	DB00437	Allopurinol	DB00437	Allopurinol
ALLSPICE	I5GZG55B36						
ALMASILATE	OZQ8O62H53						
ALMOND	3Z252A2K9G						
ALMOTRIPTAN	1O4XL5SN61	DB00918	Almotriptan	DB00918	Almotriptan	DB00918	Almotriptan
ALNUS INCANA SUBSP. RUGOSA POLLEN	605T96G8Y5						
ALNUS RHOMBIFOLIA POLLEN	7X8HL8GRTM						
ALNUS RUBRA POLLEN	Z0F2YK1B7H						
ALOE VERA LEAF	ZY81Z83H0X						
ALOSETRON	13Z9HTH115	DB00969	Alosetron	DB00969	Alosetron		
ALPRAZOLAM	YU55MQ3IZY	DB00404	Alprazolam	DB00404	Alprazolam		
ALPROSTADIL	F5TD010360	DB00770	Alprostadil	DB00770	Alprostadil		
ALTEPLASE	1RXS4UE564	DB00009	Alteplase				
ALTERNARIA ALTERNATA	52B29REC7H						
ALTRETAMINE	Q8BIH59O7H	DB00488	Altretamine				
ALUMINUM	CPD4NFA903	DB01370	Aluminium	DB01370	Aluminium		
ALUMINUM CATION	3XHB1D032B						
ALUMINUM CHLOROHYDRATE	HPN8MZW13M						
ALUMINUM HYDROXIDE	5QB0T2IUN0	DB06723	Aluminum hydroxide				
ALUMINUM SESQUICHLOROHYDRATE	UCN889409V						
ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY	P9D3YP29MY						
ALUMINUM ZIRCONIUM PENTACHLOROHYDREX GLY	94703016SM						
ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY	8O386558JE						
ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY	T27D6T99LH						
ALVIMOPAN	677C126AET	DB06274	Alvimopan				
AMANTADINE	BF4C9Z1J53	DB00915	Amantadine	DB00915	Amantadine		
AMARANTHUS PALMERI POLLEN	1GH3WV23KH						
AMARANTHUS RETROFLEXUS POLLEN	73B14PX5FW						
AMARANTHUS SPINOSUS POLLEN	380W4HYR6N						
AMARANTHUS TUBERCULATUS POLLEN	92N6W6KO2G						
AMBENONIUM	L16PUN799N	DB01122	Ambenonium	DB01122	Ambenonium		
AMBRISENTAN	HW6NV07QEC						
AMBROSIA ACANTHICARPA POLLEN	U2AI3H2J5Y						
AMBROSIA ARTEMISIIFOLIA POLLEN	K20Y81ACO3						
AMBROSIA BIDENTATA POLLEN	M3S672G75O						
AMBROSIA CONFERTIFLORA POLLEN	63TBJ590BL						
AMBROSIA DELTOIDEA POLLEN	O4AB4546TP						
AMBROSIA DUMOSA POLLEN	ZIO18VN6HJ						
AMBROSIA PSILOSTACHYA POLLEN	RX18M46K8L						
AMBROSIA TRIFIDA POLLEN	KU1V1898XX						
AMCINONIDE	423W026MA9	DB00288	Amcinonide	DB00288	Amcinonide		
AMERICAN CHESTNUT	0XH1TH76XZ						
AMIFOSTINE	M487QF2F4V	DB01143	Amifostine	DB01143	Amifostine	DB01143	Amifostine
AMIKACIN	84319SGC3C	DB00479	Amikacin	DB00479	Amikacin		
AMILORIDE	7DZO8EB0Z3	DB00594	Amiloride	DB00594	Amiloride	DB00594	Amiloride
AMILOXATE	376KTP06K8						
AMINOBENZOIC ACID	TL2TJE8QTX	DB02362	4-Aminobenzoic Acid			DB02362	4-Aminobenzoic Acid
AMINOCAPROIC ACID	U6F3787206	DB00513	Aminocaproic Acid	DB00513	Aminocaproic Acid	DB04134	6-Amino Hexanoic Acid
AMINOHIPPURIC ACID	Y79XT83BJ9						
AMINOLEVULINIC ACID	88755TAZ87	DB00855	Aminolevulinic acid	DB00855	Aminolevulinic acid		
AMINOPHYLLINE	27Y3KJK423	DB01223	Aminophylline	DB00587	Cinalukast		
AMINOSALICYLIC ACID	5B2658E0N2	DB00233	Aminosalicylic Acid	DB00233	Aminosalicylic Acid	DB00233	Aminosalicylic Acid
AMIODARONE	N3RQ532IUT	DB01118	Amiodarone	DB01118	Amiodarone		
AMITRIPTYLINE	1806D8D52K	DB00321	Amitriptyline	DB00321	Amitriptyline		
AMLODIPINE	1J444QC288	DB00381	Amlodipine	DB00381	Amlodipine		
AMMONIA	5138Q19F1X						
AMMONIUM CATION	54S68520I4						
AMOXAPINE	R63VQ857OT	DB00543	Amoxapine	DB00543	Amoxapine	DB00543	Amoxapine
AMOXICILLIN	804826J2HU	DB01060	Amoxicillin	DB01060	Amoxicillin		
AMOXICILLIN ANHYDROUS	9EM05410Q9	DB01060	Amoxicillin	DB01060	Amoxicillin		
AMPHETAMINE	CK833KGX7E	DB00182	Amphetamine	DB00182	Amphetamine	DB00182	Amphetamine
AMPHETAMINE ASPARTATE	H527KAP6L5						
