Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
HEPARIN	T2410KM04A	DB01109	Heparin	DB01109	Heparin		
HEPATITIS B VIRUS SUBTYPE ADW2 HBSAG SURFACE PROTEIN ANTIGEN	9GCJ1L5D1P						
HETASTARCH	875Y4127EA						
HEXACHLOROPHENE	IWW5FV6NK2	DB00756	Hexachlorophene			DB00756	Hexachlorophene
HEXYLRESORCINOL	R9QTB5E82N						
HISTAMINE	820484N8I3	DB00667	Histamine Phosphate				
HISTIDINE	4QD397987E	DB00117	L-Histidine	DB00117	L-Histidine	DB00117	L-Histidine
HISTRELIN	H50H3S3W74			DB06733	Bafilomycin A1		
HOLCUS LANATUS POLLEN	70O1TP6H01						
HOMATROPINE	8QS6WCL55Z						
HOMATROPINE METHYLBROMIDE	68JRS2HC1C	DB00725	Homatropine Methylbromide	DB00725	Homatropine Methylbromide		
HOMOSALATE	V06SV4M95S						
HONEYDEW MELON	RN8P45F92A						
HOPS	01G73H6H83						
HORDEUM VULGARE POLLEN	2LN3M29LNI						
HORSERADISH	8DS6G120HJ						
HOUSE DUST	EYO007VX98						
HUMAN BOTULINUM NEUROTOXIN A/B IMMUNE GLOBULIN	X641Y30OA7						
HUMAN CLOSTRIDIUM TETANI TOXOID IMMUNE GLOBULIN	V4SWI4RF4J						
HUMAN CYTOMEGALOVIRUS IMMUNE GLOBULIN	129L90A25N						
HUMAN HEPATITIS B VIRUS IMMUNE GLOBULIN	XII270YC6M						
HUMAN IMMUNOGLOBULIN G	66Y330CJHS					 	 
HUMAN RABIES VIRUS IMMUNE GLOBULIN	95F619ATQ2						
HUMAN RHO(D) IMMUNE GLOBULIN	48W7181FLP						
HUMICOLA GRISEA	RZ55S3AQOJ						
HYALURONIC ACID	S270N0TRQY	DB08818	Hyaluronan				
HYALURONIDASE (HUMAN RECOMBINANT)	743QUY4VD8						
HYALURONIDASE, OVINE	64R4OHP8T0	DB00070	Hyaluronidase				
HYDRALAZINE	26NAK24LS8	DB01275	Hydralazine	DB01275	Hydralazine	DB01275	Hydralazine
HYDROCHLOROTHIAZIDE	0J48LPH2TH	DB00999	Hydrochlorothiazide			DB00999	Hydrochlorothiazide
HYDROCODONE	6YKS4Y3WQ7	DB00956	Hydrocodone	DB00956	Hydrocodone		
HYDROCORTISONE	WI4X0X7BPJ	DB00741	Hydrocortisone	DB00741	Hydrocortisone	DB07886	(11alpha,14beta)-11,17,21-trihydroxypregn-4-ene-3,20-dione
HYDROCORTISONE BUTYRATE	05RMF7YPWN						
HYDROCORTISONE VALERATE	68717P8FUZ						
HYDROFLUMETHIAZIDE	501CFL162R	DB00774	Hydroflumethiazide				
HYDROFLUORIC ACID	RGL5YE86CZ						
HYDROGEN PEROXIDE	BBX060AN9V						
HYDROGENATED PALM KERNEL OIL	FM8D1RE2VP						
HYDROMORPHONE	Q812464R06	DB00327	Hydromorphone	DB00327	Hydromorphone	DB00327	Hydromorphone
HYDROQUINONE	XV74C1N1AE						
HYDROXIDE ION	9159UV381P						
HYDROXOCOBALAMIN	Q40X8H422O	DB00200	Hydroxocobalamin	DB00200	Hydroxocobalamin		
HYDROXYAMPHETAMINE	FQR280JW2N						
HYDROXYCHLOROQUINE	4QWG6N8QKH	DB01611	Hydroxychloroquine				
HYDROXYPROGESTERONE CAPROATE	276F2O42F5						
HYDROXYPROLINE	RMB44WO89X						
HYDROXYPROPYL CELLULOSE	RFW2ET671P	DB00840	Hydroxypropyl cellulose				
HYDROXYUREA	X6Q56QN5QC	DB01005	Hydroxyurea			DB01005	Hydroxyurea
HYDROXYZINE	30S50YM8OG	DB00557	Hydroxyzine	DB00557	Hydroxyzine		
HYOSCYAMINE	PX44XO846X	DB00424	Hyoscyamine	DB00424	Hyoscyamine		
HYPOCHLOROUS ACID	712K4CDC10						
HYPOMYCES PERNICIOSUS	6K41G30A6U						
HYPROMELLOSE 2208 (100 MPA.S)	B1QE5P712K						
HYPROMELLOSE 2208 (15000 MPA.S)	Z78RG6M2N2						
HYPROMELLOSE 2906 (4000 MPA.S)	5EYA69XGAT						
HYPROMELLOSE 2906 (50 MPA.S)	612E703ZUQ						
HYPROMELLOSE 2910 (4000 MPA.S)	RN3152OP35						
HYPROMELLOSES	3NXW29V3WO						
IBANDRONIC ACID	UMD7G2653W	DB00710	Ibandronate			DB00710	Ibandronate
IBRITUMOMAB TIUXETAN	4Q52C550XK						
IBUPROFEN	WK2XYI10QM	DB01050	Ibuprofen	DB01050	Ibuprofen		
IBUTILIDE	2436VX1U9B	DB00308	Ibutilide				
ICATIBANT	7PG89G35Q7	DB06196	Icatibant				
ICODEXTRIN	2NX48Z0A9G	DB00702	Icodextrin				
ICOSAPENT	AAN7QOV9EA	DB00159	Icosapent	DB00159	Icosapent	DB00159	Icosapent
IDARUBICIN	ZRP63D75JW	DB01177	Idarubicin	DB01177	Idarubicin		
IDOXURIDINE	LGP81V5245	 	 	DB00249	Idoxuridine	DB00249	Idoxuridine
IDURSULFASE	5W8JGG2651	DB01271	Idursulfase				
IFOSFAMIDE	UM20QQM95Y	DB01181	Ifosfamide	DB01181	Ifosfamide	DB01181	Ifosfamide
ILOPERIDONE	VPO7KJ050N						
ILOPROST	JED5K35YGL	DB01088	Iloprost				
IMATINIB	BKJ8M8G5HI	DB00619	Imatinib	DB00619	Imatinib		
IMIGLUCERASE	Q6U6J48BWY	DB00053	Imiglucerase				
IMIPENEM	71OTZ9ZE0A	DB01598	Imipenem	DB01598	Imipenem		
IMIPENEM ANHYDROUS	Q20IM7HE75			DB01598	Imipenem		
IMIPRAMINE	OGG85SX4E4	DB00458	Imipramine			DB00458	Imipramine
IMIPRAMINE PAMOATE	MC34P30298						
IMIQUIMOD	P1QW714R7M	DB00724	Imiquimod	DB00724	Imiquimod	DB00724	Imiquimod
INAMRINONE	JUT23379TN	DB01427	Amrinone			DB01427	Amrinone
INDACATEROL	8OR09251MQ	DB05039	Indacaterol				
INDAPAMIDE	F089I0511L	DB00808	Indapamide			DB00808	Indapamide
INDIAN FRANKINCENSE	4PW41QCO2M						
INDINAVIR	5W6YA9PKKH	DB00224	Indinavir				
INDINAVIR ANHYDROUS	9MG78X43ZT						
INDIUM CATION IN-111	WJZ06C0H8L						
INDIUM IN-111 CHLORIDE	58TD96H03I						
INDIUM IN-111 OXYQUINOLINE	LGX9OL562T						
INDIUM IN-111 PENTETATE DISODIUM	7UIT3ZGC8E						
INDOCYANINE GREEN	IX6J1063HV						
INDOMETHACIN	XXE1CET956	DB00328	Indomethacin			DB00328	Indomethacin
INFLIXIMAB	B72HH48FLU	DB00065	Infliximab				
INGENOL MEBUTATE	7686S50JAH						
INOSITOL NIACINATE	A99MK953KZ						
INSULIN ASPART	D933668QVX	DB01306	Insulin Aspart				
INSULIN DETEMIR	4FT78T86XV	DB01307	Insulin Detemir				
INSULIN GLARGINE	2ZM8CX04RZ	DB00047	Insulin Glargine				
INSULIN GLULISINE	7XIY785AZD	DB01309	Insulin Glulisine				
INSULIN HUMAN	1Y17CTI5SR						
INSULIN LISPRO	GFX7QIS1II	DB00046	Insulin Lispro				
INTERFERON ALFA-2A	47RRR83SK7	DB00034	Interferon Alfa-2a, Recombinant				
INTERFERON ALFA-2B	43K1W2T1M6	DB00105	Interferon Alfa-2b, Recombinant				
INTERFERON ALFACON-1	56588OP40D	DB00069	Interferon alfacon-1				
INTERFERON BETA-1A	XRO4566Q4R	DB00060	Interferon beta-1a				
INTERFERON BETA-1B	TTD90R31WZ	DB00068	Interferon beta-1b				
INTERFERON GAMMA-1B	21K6M2I7AG	DB00033	Interferon gamma-1b				
IOBENGUANE I-123	P2TH1XYZ84						
IODIDE I-125	V1UJ6I93CL						
IODIDE ION	09G4I6V86Q						
IODIDE ION I-131	4GC1FOQ22U						
IODINE	9679TC07X4						
IODINE I-123	8YWR746RPQ						
IODINE I-131	I5X6L61HUT						
IODIPAMIDE	TKQ858A3VW	DB04711	Iodipamide			DB04711	Iodipamide
IODOQUINOL	63W7IE88K8						
IOFLUPANE I-123	3MM99T8R5Q						
IOHEXOL	4419T9MX03	DB01362	Iohexol			DB01362	Iohexol
IOPAMIDOL	JR13W81H44						
IOPROMIDE	712BAC33MZ						
IOTHALAMIC ACID	16CHD79MIX						
IOVERSOL	N3RIB7X24K						
IOXAGLIC ACID	Z40X7EI2AF						
IOXILAN	A4YJ7J11TG						
IPILIMUMAB	6T8C155666						
IPRATROPIUM	GR88G0I6UL	DB00332	Ipratropium bromide	DB00121	Biotin		
IPRATROPIUM BROMIDE	J697UZ2A9J	DB00332	Ipratropium bromide	DB00332	Ipratropium bromide		
IRBESARTAN	J0E2756Z7N	DB01029	Irbesartan	DB01029	Irbesartan	DB01029	Irbesartan
IRINOTECAN	7673326042	DB00762	Irinotecan				
IRIS GERMANICA VAR. FLORENTINA ROOT	M30XO5X4XD						
IRON	E1UOL152H7	DB01592	Iron	DB01592	Iron		
IRON DEXTRAN	95HR524N2M	DB00893	Iron Dextran				
IRON PENTACARBONYL	6WQ62TAQ6Z						
ISOCARBOXAZID	34237V843T	DB01247	Isocarboxazid				
ISOFLURANE	CYS9AKD70P	DB00753	Isoflurane	DB00142	L-Glutamic Acid		
ISOLEUCINE	04Y7590D77	DB00167	L-Isoleucine	DB00167	L-Isoleucine	DB00167	L-Isoleucine
ISOMETHEPTENE	Y7L24THH6T	DB06706	Isometheptene			DB06706	Isometheptene
ISONIAZID	V83O1VOZ8L	DB00951	Isoniazid	DB00951	Isoniazid	DB00951	Isoniazid
ISOPROPYL ALCOHOL	ND2M416302						
ISOPROTERENOL	L628TT009W	DB01064	Isoproterenol	DB01119	Diazoxide	DB01064	Isoproterenol
ISOSORBIDE	WXR179L51S						
ISOSORBIDE DINITRATE	IA7306519N	DB00883	Isosorbide Dinitrate	DB00883	Isosorbide Dinitrate		
ISOSORBIDE MONONITRATE	LX1OH63030	DB01020	Isosorbide Mononitrate	DB01020	Isosorbide Mononitrate	DB01020	Isosorbide Mononitrate
ISOSULFAN BLUE	39N9K8S2A4						
ISOTRETINOIN	EH28UP18IF	DB00982	Isotretinoin	DB00982	Isotretinoin		
ISOXSUPRINE	R15UI3245N						
ISRADIPINE	YO1UK1S598	DB00270	Isradipine				
ITRACONAZOLE	304NUG5GF4	DB01167	Itraconazole	DB00322	Floxuridine		
IVA ANGUSTIFOLIA POLLEN	UBW6O1H50I						
IVA ANNUA POLLEN	Y2U5S5PF22						
IVA AXILLARIS POLLEN	13KFG30UBR						
IVACAFTOR	1Y740ILL1Z	DB08820	Ivacaftor			DB08820	Ivacaftor
IVERMECTIN	8883YP2R6D	DB00602	Ivermectin				
IXABEPILONE	K27005NP0A	DB04845	Ixabepilone				
JOJOBA OIL	724GKU717M						
JUGLANS CALIFORNICA POLLEN	2147EPR64I						
JUGLANS NIGRA POLLEN	1BV28146ZR						
JUGLANS REGIA POLLEN	ARW43087I1						
JUNIPERUS ASHEI POLLEN	544F8MEY0Y						
JUNIPERUS MONOSPERMA POLLEN	PM6E3FG1QK						
JUNIPERUS OCCIDENTALIS POLLEN	7JWJ3HXZ9U						
JUNIPERUS OSTEOSPERMA POLLEN	15L060HV8H						
JUNIPERUS PINCHOTII POLLEN	S8A4X05W7J						
JUNIPERUS SCOPULORUM POLLEN	0G82TT8ZFY						
JUNIPERUS VIRGINIANA POLLEN	PY0JA16R2G						
KANAMYCIN	RUC37XUP2P	DB01172	Kanamycin	DB00864	Tacrolimus		
KAOLIN	24H4NWX5CO	DB01575	Kaolin				
KARAYA GUM	73W9IQY50Q						
KETAMINE	690G0D6V8H	DB01221	Ketamine	DB01221	Ketamine	DB01221	Ketamine
KETOCONAZOLE	R9400W927I	DB01026	Ketoconazole	DB01026	Ketoconazole		
KETOPROFEN	90Y4QC304K	DB01009	Ketoprofen	DB01009	Ketoprofen		
KETOROLAC	YZI5105V0L	DB00465	Ketorolac				
KETOROLAC TROMETHAMINE	4EVE5946BQ	DB00465	Ketorolac				
KETOTIFEN	X49220T18G	DB00920	Ketotifen				
KHUSKIA ORYZAE	VK8C112WTS						
KIDNEY BEAN	M98C8416QO						
KIWI FRUIT	71ES77LGJC						
KOELERIA MACRANTHA POLLEN	IIC6H3WF6J						
LABETALOL	R5H8897N95	DB00598	Labetalol	DB00598	Labetalol		
LACOSAMIDE	563KS2PQY5						
LACTIC ACID	33X04XA5AT	DB04398	Lactic Acid	DB04398	Lactic Acid		
LACTIC ACID, DL-	3B8D35Y7S4						
LACTULOSE	9U7D5QH5AE	DB00581	Lactulose	DB00581	Lactulose		
LAMB	FOF26T73HA						
LAMIVUDINE	2T8Q726O95	DB00709	Lamivudine			DB00709	Lamivudine
LAMOTRIGINE	U3H27498KS	DB00555	Lamotrigine	DB00555	Lamotrigine	DB00555	Lamotrigine
LANOLIN	7EV65EAW6H						
LANREOTIDE	0G3DE8943Y						
LANSOPRAZOLE	0K5C5T2QPG	DB00448	Lansoprazole	DB00448	Lansoprazole	DB00448	Lansoprazole
LANTHANUM	6I3K30563S						
LAPATINIB	0VUA21238F	DB01259	Lapatinib	DB01259	Lapatinib		
LARGEMOUTH BASS	XC209ITL3J						
LARIX OCCIDENTALIS POLLEN	1L67OBT731						
LARONIDASE	WP58SVM6R4	DB00090	Laronidase				
LATANOPROST	6Z5B6HVF6O	DB00654	Latanoprost	DB00634	Sulfacetamide		
LAURIC ACID	1160N9NU9U						
LECITHIN, SOYBEAN	1DI56QDM62						
LEEK	RCU76P419D						
LEFLUNOMIDE	G162GK9U4W	DB01097	Leflunomide	DB01097	Leflunomide	DB01097	Leflunomide
LEMON	24RS0A988O						
LENALIDOMIDE	F0P408N6V4	DB00480	Lenalidomide			DB00480	Lenalidomide
LENTIL	6O38V6B52O						
LEPIRUDIN	Y43GF64R34	DB00001	Lepirudin				
LETROZOLE	7LKK855W8I	DB01006	Letrozole	DB01006	Letrozole	DB01006	Letrozole
LETTUCE	5PO6NN3RRJ						
LEUCINE	GMW67QNF9C	DB00149	L-Leucine	DB00149	L-Leucine	DB01746	D-Leucine
LEUCOVORIN	Q573I9DVLP	DB00650	Leucovorin	DB03256	5-Formyl-5,6,7,8-Tetrahydrofolate		
LEUCOVORIN CALCIUM	RPR1R4C0P4	DB00650	Leucovorin				
LEVALBUTEROL	EDN2NBH5SS						
LEVETIRACETAM	44YRR34555	DB01202	Levetiracetam				
LEVOBUNOLOL	G6317AOI7K	DB01210	Levobunolol	DB01210	Levobunolol	DB01210	Levobunolol
LEVOCABASTINE	H68BP06S81	DB01106	Levocabastine				
LEVOCARNITINE	0G389FZZ9M	DB00583	L-Carnitine	DB00583	L-Carnitine	DB00583	L-Carnitine
LEVOCETIRIZINE	6U5EA9RT2O						
LEVODOPA	46627O600J	DB01235	Levodopa	DB01235	Levodopa	DB01235	Levodopa
LEVOFLOXACIN	6GNT3Y5LMF	DB01137	Levofloxacin				
LEVOFLOXACIN ANHYDROUS	RIX4E89Y14						
LEVOLEUCOVORIN	990S25980Y						
LEVOMEFOLIC ACID	8S95DH25XC						
LEVOMENOL	24WE03BX2T						
LEVOMENTHOL	BZ1R15MTK7	DB00825	Menthol	DB00825	Menthol	DB00825	Menthol
LEVONORDEFRIN	V008L6478D	DB06707	Levonordefrin			DB06707	Levonordefrin
LEVONORGESTREL	5W7SIA7YZW	DB00367	Levonorgestrel	DB00367	Levonorgestrel		
LEVORPHANOL	27618J1N2X	DB00854	Levorphanol			DB00854	Levorphanol
LEVOTHYROXINE	Q51BO43MG4	DB00451	Levothyroxine	DB00451	Levothyroxine	DB00451	Levothyroxine
LEYMUS CONDENSATUS POLLEN	257GC6QO0Q						
LICORICE	61ZBX54883						
LIDOCAINE	98PI200987	DB00281	Lidocaine	DB00281	Lidocaine	DB00281	Lidocaine
LIGHT MINERAL OIL	N6K5787QVP						
LIGUSTRUM VULGARE POLLEN	Y3FRX92Z0E						
LIMA BEAN	112YH1ZMX2						
LIME (CITRUS)	8CZS546954						
LINAGLIPTIN	3X29ZEJ4R2						
LINCOMYCIN	BOD072YW0F	DB01627	Lincomycin	DB01627	Lincomycin		
LINDANE	59NEE7PCAB	DB00431	Lindane	DB00431	Lindane		
LINEZOLID	ISQ9I6J12J	DB00601	Linezolid			DB00601	Linezolid
LINOLENIC ACID	0RBV727H71	DB00160	L-Alanine	DB00132	Alpha-Linolenic Acid		
LIOTHYRONINE	06LU7C9H1V	DB00279	Liothyronine	DB00279	Liothyronine	DB00279	Liothyronine
LIQUIDAMBAR STYRACIFLUA POLLEN	5Q246DS5BS						
LIQUIDAMBAR STYRACIFLUA RESIN	P41GWD11CX						
LIRAGLUTIDE	839I73S42A	DB06655	Liraglutide				
LISDEXAMFETAMINE	H645GUL8KJ	DB01255	Lisdexamfetamine			DB01255	Lisdexamfetamine
LISINOPRIL	E7199S1YWR	DB00722	Lisinopril	DB00722	Lisinopril		
LISINOPRIL ANHYDROUS	7Q3P4BS2FD			DB00722	Lisinopril		
LITHIUM	9FN79X2M3F	DB01356	Lithium				
LITHIUM CATION	8H8Z5UER66			DB01356	Lithium		
LITHIUM HYDROXIDE ANHYDROUS	903YL31JAS						
LODOXAMIDE	SPU695OD73						
LOLIUM PERENNE POLLEN	4T81LB52R0						
LOMEFLOXACIN	L6BR2WJD8V	DB00978	Lomefloxacin	DB00978	Lomefloxacin		
LOMUSTINE	7BRF0Z81KG	DB01206	Lomustine			DB01206	Lomustine
LOPERAMIDE	6X9OC3H4II	DB00836	Loperamide	DB00836	Loperamide		
LOPINAVIR	2494G1JF75	DB01601	Lopinavir				
LORATADINE	7AJO3BO7QN	DB00455	Loratadine				
LORAZEPAM	O26FZP769L	DB00186	Lorazepam				
LOSARTAN	JMS50MPO89	DB00678	Losartan	DB00678	Losartan		
LOTEPREDNOL	Z8CBU6KR16	DB00873	Loteprednol	DB00873	Loteprednol		
LOTEPREDNOL ETABONATE	YEH1EZ96K6	DB00873	Loteprednol				
LOVASTATIN	9LHU78OQFD	DB00227	Lovastatin	DB00227	Lovastatin	DB00227	Lovastatin
LOXAPINE	LER583670J	DB00408	Loxapine	DB00408	Loxapine	DB00408	Loxapine
LUBIPROSTONE	7662KG2R6K	DB01046	Lubiprostone				
LUMEFANTRINE	F38R0JR742	DB06708	Lumefantrine	DB06708	Lumefantrine	DB06708	Lumefantrine
LURASIDONE	22IC88528T						
LUTROPIN ALFA	3JGY52XJNA	DB00044	Lutropin alfa				
LYCOPENE	SB0N2N0WV6						
LYSINE	K3Z4F929H6						
MACADAMIA NUT	Y5432RGW8N						
MACLURA POMIFERA POLLEN	18JOK51CZH						
MAFENIDE	58447S8P4L						
MAGNESIUM	I38ZP9992A	DB01378	Magnesium	DB01378	Magnesium	DB01378	Magnesium
MAGNESIUM ACETATE TETRAHYDRATE	I01G0EJC3B						
MAGNESIUM CATION	T6V3LHY838						
MAGNESIUM CHLORIDE	02F3473H9O						
MAGNESIUM HYDROXIDE	NBZ3QY004S						
MAGNESIUM OXIDE	3A3U0GI71G	DB01377	Magnesium oxide	DB01377	Magnesium oxide		
MAGNESIUM SALICYLATE	41728CY7UX	DB01397	Magnesium salicylate				
MAGNESIUM TRISILICATE ANHYDROUS	FML8G1U0Y3						
MALATHION	U5N7SU872W	DB00772	Malathion	DB00772	Malathion		
MANGANESE	42Z2K6ZL8P						
MANGANESE CATION (2+)	H6EP7W5457						
MANGIFERA INDICA POLLEN	BS3OW0RZ4K						
MANGO	I629I3NR86						
MANNITOL	3OWL53L36A	DB00742	Mannitol	DB00742	Mannitol		
MAPROTILINE	2U1W68TROF	DB00934	Maprotiline			DB00934	Maprotiline
MARAVIROC	MD6P741W8A	DB04835	Maraviroc				
MEBENDAZOLE	81G6I5V05I	DB00643	Mebendazole	DB00643	Mebendazole		
MEBROFENIN	7PV0B6ED98						
MECAMYLAMINE	6EE945D3OK	DB00657	Mecamylamine			DB00657	Mecamylamine
MECASERMIN	7GR9I2683O	DB01277	Mecasermin				
MECHLORETHAMINE	50D9XSG0VR	DB00888	Mechlorethamine	DB00888	Mechlorethamine	DB00888	Mechlorethamine
MECLIZINE	3L5TQ84570	DB00737	Meclizine			DB00737	Meclizine
MECLOFENAMIC ACID	48I5LU4ZWD	DB00939	Meclofenamic acid			DB00939	Meclofenamic acid
MEDICAGO SATIVA POLLEN	G515RAI9FY						
MEDIUM-CHAIN TRIGLYCERIDES	C9H2L21V7U	 	 			 	 
MEDRONIC ACID	73OS0QIN3O						
MEDROXYPROGESTERONE	HSU1C9YRES	DB00603	Medroxyprogesterone	DB00603	Medroxyprogesterone	DB00603	Medroxyprogesterone
MEDRYSONE	D2UFC189XF	DB00253	Medrysone			DB00253	Medrysone
MEFENAMIC ACID	367589PJ2C	DB00784	Mefenamic acid				
MEFLOQUINE	TML814419R	DB00358	Mefloquine				
MEGESTROL	EA6LD1M70M	DB00351	Megestrol	DB00351	Megestrol		
MELALEUCA QUINQUENERVIA POLLEN	NX974IRT8E						
MELILOTUS ALBUS POLLEN	9L67M8B78R						
MELILOTUS OFFICINALIS POLLEN	UVC3Z60VTX						
MELOPSITTACUS UNDULATUS FEATHER	1XY644QKWG						
MELOXICAM	VG2QF83CGL	DB00814	Meloxicam			DB00814	Meloxicam
MELPHALAN	Q41OR9510P	DB01042	Melphalan	DB01042	Melphalan		
MEMANTINE	W8O17SJF3T	DB01043	Memantine			DB01043	Memantine
MENTHOL	L7T10EIP3A	DB00825	Menthol			DB00825	Menthol
MEPENZOLATE	ONW3LB39P7	DB04843	Mepenzolate				
MEPERIDINE	9E338QE28F	DB00454	Meperidine				
MEPHENYTOIN	R420KW629U	DB00532	Mephenytoin			DB00532	Mephenytoin
MEPIVACAINE	B6E06QE59J	DB00961	Mepivacaine	DB00961	Mepivacaine		
MEPROBAMATE	9I7LNY769Q	DB00371	Meprobamate				
MERADIMATE	J9QGD60OUZ						
MERCAPTOPURINE	E7WED276I5	DB01033	Mercaptopurine				
MERCAPTOPURINE ANHYDROUS	PKK6MUZ20G	DB01033	Mercaptopurine			DB01033	Mercaptopurine
MERIONES UNGUICULATUS SKIN	9WN2H714TG						
MEROPENEM	FV9J3JU8B1	DB00760	Meropenem	DB00760	Meropenem		
MESALAMINE	4Q81I59GXC	DB00244	Mesalazine	DB00244	Mesalazine	DB00244	Mesalazine
MESNA	NR7O1405Q9						
MESOCRICETUS AURATUS SKIN	3K873H631W						
MESORIDAZINE	5XE4NWM740	DB00933	Mesoridazine	DB00933	Mesoridazine	DB00933	Mesoridazine
MESTRANOL	B2V233XGE7	DB01357	Mestranol	DB01357	Mestranol		
METAPROTERENOL	53QOG569E0	DB00816	Orciprenaline	 	 	DB00816	Orciprenaline
METAXALONE	1NMA9J598Y	DB00660	Metaxalone			DB00660	Metaxalone
METFORMIN	9100L32L2N	DB00331	Metformin	DB00331	Metformin	DB00331	Metformin
METHADONE	UC6VBE7V1Z	DB00333	Methadone	DB00333	Methadone		
METHAMPHETAMINE	44RAL3456C	DB01577	Methamphetamine	DB01577	Methamphetamine	DB01577	Methamphetamine
METHAZOLAMIDE	W733B0S9SD	DB00703	Methazolamide				
METHENAMINE	J50OIX95QV						
METHENAMINE HIPPURATE	M329791L57						
METHIMAZOLE	554Z48XN5E	DB00763	Methimazole	DB00763	Methimazole	DB00763	Methimazole
METHIONINE	AE28F7PNPL	DB00134	L-Methionine	DB00134	L-Methionine	DB00134	L-Methionine
METHOCARBAMOL	125OD7737X	DB00423	Methocarbamol				
METHOHEXITAL	E5B8ND5IPE	DB00474	Methohexital	DB00474	Methohexital		
METHOTREXATE	YL5FZ2Y5U1	DB00563	Methotrexate				
METHOXSALEN	U4VJ29L7BQ	DB00553	Methoxsalen	DB00553	Methoxsalen	DB00553	Methoxsalen
METHSCOPOLAMINE	VDR09VTQ8U	DB00462	Methylscopolamine				
METHSCOPOLAMINE BROMIDE	RTN51LK7WL	DB00462	Methylscopolamine				
METHSUXIMIDE	0G76K8X6C0	DB05246	Methsuximide			DB05246	Methsuximide
METHYCLOTHIAZIDE	L3H46UAC61	DB00232	Methyclothiazide				
METHYL AMINOLEVULINATE	585NM85KYM	DB00992	Methyl aminolevulinate	DB00992	Methyl aminolevulinate		
METHYL NICOTINATE	7B1AVU9DJN						
METHYL SALICYLATE	LAV5U5022Y						
METHYL UNDECENOYL LEUCINATE	D7PH6N3IEI						
METHYLCOBALAMIN	BR1SN1JS2W			DB03614	Co-Methylcobalamin		
METHYLDOPA	56LH93261Y	DB00968	Methyldopa	DB00968	Methyldopa		
METHYLDOPA ANHYDROUS	M4R0H12F6M			DB00968	Methyldopa		
METHYLDOPATE	2579Z4P04J						
METHYLENE BLUE	T42P99266K						
METHYLENE BLUE CATION	ZMZ79891ZH						
METHYLERGONOVINE	W53L6FE61V	DB00353	Methylergonovine			DB00353	Methylergonovine
METHYLHOMATROPINE	P97OGJ7L1L	DB00725	Homatropine Methylbromide				
METHYLNALTREXONE	0RK7M7IABE						
METHYLPHENIDATE	207ZZ9QZ49	DB00422	Methylphenidate	DB00422	Methylphenidate		
METHYLPREDNISOLONE	X4W7ZR7023	DB00959	Methylprednisolone	DB00959	Methylprednisolone	DB00959	Methylprednisolone
METHYLTESTOSTERONE	V9EFU16ZIF	DB06710	Methyltestosterone	DB06710	Methyltestosterone	DB06710	Methyltestosterone
METHYSERGIDE	XZA9HY6Z98	DB00247	Methysergide	DB00247	Methysergide		
METIPRANOLOL	X39AL81KEB	DB01214	Metipranolol				
METOCLOPRAMIDE	L4YEB44I46	DB01233	Metoclopramide	DB01233	Metoclopramide	DB01233	Metoclopramide
METOLAZONE	TZ7V40X7VX	DB00524	Metolazone			DB00524	Metolazone
METOPROLOL	GEB06NHM23	DB00264	Metoprolol	DB00264	Metoprolol	DB00264	Metoprolol
METRONIDAZOLE	140QMO216E	DB00916	Metronidazole	DB00916	Metronidazole	DB00916	Metronidazole
METYRAPONE	ZS9KD92H6V	DB01011	Metyrapone			DB01011	Metyrapone
METYROSINE	DOQ0J0TPF7	DB00765	Metyrosine			DB00765	Metyrosine
MEXILETINE	1U511HHV4Z	DB00379	Mexiletine	DB00379	Mexiletine		
MICAFUNGIN	R10H71BSWG	DB01141	Micafungin	DB01141	Micafungin		
MICONAZOLE	7NNO0D7S5M	DB01110	Miconazole	DB01110	Miconazole		
MICONAZOLE NITRATE	VW4H1CYW1K	DB01110	Miconazole				
MICROASCUS BREVICAULIS	DHI513VXU7						
MICROSPORUM AUDOUINII	B7B86Y84R8						
MICROSPORUM CANIS	N4F4RQ7BY7						
MIDAZOLAM	R60L0SM5BC	DB00683	Midazolam			DB00683	Midazolam
MIDODRINE	6YE7PBM15H	DB00211	Midodrine	DB00211	Midodrine		
MIFEPRISTONE	320T6RNW1F	DB00834	Mifepristone	DB00834	Mifepristone	DB00834	Mifepristone
MIGLITOL	0V5436JAQW	DB00491	Miglitol			DB00491	Miglitol
MIGLUSTAT	ADN3S497AZ	DB00419	Miglustat	DB00419	Miglustat	DB00419	Miglustat
MILNACIPRAN	G56VK1HF36	DB04896	Milnacipran				
MILRINONE	JU9YAX04C7	DB00235	Milrinone	DB00235	Milrinone	DB00235	Milrinone
MINERAL OIL	T5L8T28FGP						
MINOCYCLINE	FYY3R43WGO	DB01017	Minocycline	DB01017	Minocycline		
MINOXIDIL	5965120SH1	DB00350	Minoxidil	DB00350	Minoxidil		
MIRABEGRON	MVR3JL3B2V						
MIRTAZAPINE	A051Q2099Q	DB00370	Mirtazapine	DB00370	Mirtazapine	DB00370	Mirtazapine
MISOPROSTOL	0E43V0BB57	DB00929	Misoprostol				
MITOMYCIN	50SG953SK6	DB00305	Mitomycin	DB00305	Mitomycin		
MITOTANE	78E4J5IB5J	DB00648	Mitotane				
